572800
141 DATA: {'roll': '-3.87', 'pitch': '-6.51', 'yaw': '323.27', 'AccX': '0.99', 'AccY': '-0.22', 'AccZ': '-0.19', 'millis': '630863'}
142 DATA: {'roll': '5.50', 'pitch': '-5.38', 'yaw': '319.45', 'AccX': '1.02', 'AccY': '-0.17', 'AccZ': '-0.17', 'millis': '-24297'}
143 DATA: {'roll': '2.10', 'pitch': '7.51', 'yaw': '-206.88', 'AccX': '-0.41', 'AccY': '0.10', 'AccZ': '0.28', 'millis': '631713'}
144 DATA: {'roll': '-3.33', 'pitch': '-5.04', 'yaw': '-209.82', 'AccX': '-0.46', 'AccY': '0.11', 'AccZ': '0.75', 'millis': '631963'}
145 DATA: {'roll': '0.77', 'pitch': '3.96', 'yaw': '-216.70', 'AccX': '-0.62', 'AccY': '-0.08', 'AccZ': '0.64', 'millis': '632163'}
146 DATA: {'roll': '-44.19', 'pitch': '-50.83', 'yaw': '-222.73', 'AccX': '-0.63', 'AccY': '-0.12', 'AccZ': '0.68', 'millis': '632463'}
147 DATA: {'roll': '-6.59', 'pitch': '10.21', 'yaw': '-232.98', 'AccX': '-0.20', 'AccY': '-0.48', 'AccZ': '1.00', 'millis': '632713'}
148 DATA: {'roll': '-49.29', 'pitch': '-52.86', 'yaw': '304.42', 'AccX': '1.15', 'AccY': '-0.52', 'AccZ': '-0.21', 'millis': '633165'}
149 DATA: {'roll': '-2.23', 'pitch': '-5.13', 'yaw': '300.77', 'AccX': '1.29', 'AccY': '-0.46', 'AccZ': '-0.13', 'millis': '633180'}
150 DATA: {'roll': '-38.64', 'pitch': '-81.02', 'yaw': '-308.85', 'AccX': '-0.23', 'AccY': '-0.46', 'AccZ': '0.92', 'millis': '-19799'}
151 DATA: {'roll': '-55.14', 'pitch': '-84.98', 'yaw': '197.97', 'AccX': '0.93', 'AccY': '-0.31', 'AccZ': '-0.06', 'millis': '636213'}
152 DATA: {'roll': '-30.86', 'pitch': '-8.28', 'yaw': '191.86', 'AccX': '1.21', 'AccY': '-0.22', 'AccZ': '-0.26', 'millis': '-18947'}
153 DATA: {'roll': '197.71', 'pitch': '20.22', 'yaw': '-200.02', 'AccX': '0.82', 'AccY': '-1.08', 'AccZ': '-0.41', 'millis': '637513'}
154 DATA: {'roll': '18.42', 'pitch': '9.80', 'yaw': '-148.97', 'AccX': '-0.54', 'AccY': '-0.04', 'AccZ': '0.48', 'millis': '637813'}
155 DATA: {'roll': '0.11', 'pitch': '-14.03', 'yaw': '-146.55', 'AccX': '-0.40', 'AccY': '0.07', 'AccZ': '0.50', 'millis': '638013'}
156 DATA: {'roll': '-0.07', 'pitch': '-4.04', 'yaw': '-152.01', 'AccX': '-0.47', 'AccY': '-0.08', 'AccZ': '0.91', 'millis': '638214'}
157 DATA: {'roll': '0.09', 'pitch': '4.40', 'yaw': '-159.84', 'AccX': '-0.44', 'AccY': '-0.16', 'AccZ': '0.71', 'millis': '638413'}
158 DATA: {'roll': '-12.30', 'pitch': '-29.48', 'yaw': '-164.56', 'AccX': '-0.68', 'AccY': '-0.12', 'AccZ': '0.55', 'millis': '638613'}
159 DATA: {'roll': '-15.59', 'pitch': '3.81', 'yaw': '-176.51', 'AccX': '-0.07', 'AccY': '-0.68', 'AccZ': '0.98', 'millis': '638913'}
160 DATA: {'roll': '-9.32', 'pitch': '-1.38', 'yaw': '-192.58', 'AccX': '-0.01', 'AccY': '-0.57', 'AccZ': '0.64', 'millis': '-16246'}
